Age,Average Finish Position,Behind Winner,Races Won,Total Races,Win%,Class
2,7.3,6.6,176.0,2003,0.09,All
3,6.9,6.4,4525.0,58388,0.08,All
4,6.2,4.3,784.0,7780,0.1,All
5,6.5,4.6,378.0,4574,0.08,All
6,7.2,5.7,128.0,2152,0.06,All
7,7.2,5.1,44.0,810,0.05,All
8,7.7,5.8,7.0,220,0.03,All
9,6.7,5.6,3.0,40,0.07,All
10,3.2,1.6,2.0,6,0.33,All
2,5.5,1.9,0.0,2,0.0,Class 1
3,3.5,2.2,20.0,56,0.36,Class 1
4,5.2,2.9,25.0,195,0.13,Class 1
5,6.2,3.8,20.0,232,0.09,Class 1
6,7.2,5.1,4.0,99,0.04,Class 1
7,7.6,4.7,0.0,27,0.0,Class 1
8,7.5,4.2,0.0,2,0.0,Class 1
2,6.5,4.8,10.0,110,0.09,Class 2
3,6.7,4.7,116.0,1071,0.11,Class 2
4,6.0,3.7,121.0,1086,0.11,Class 2
5,7.0,4.8,41.0,694,0.06,Class 2
6,8.0,5.8,12.0,299,0.04,Class 2
7,7.8,5.9,0.0,67,0.0,Class 2
8,11.1,8.4,0.0,10,0.0,Class 2
2,7.5,6.9,70.0,788,0.09,Class 3
3,6.8,5.1,347.0,3701,0.09,Class 3
4,6.2,4.2,270.0,2731,0.1,Class 3
5,6.7,4.7,104.0,1343,0.08,Class 3
6,7.5,5.3,26.0,607,0.04,Class 3
7,7.5,5.2,5.0,229,0.02,Class 3
8,8.1,5.4,0.0,39,0.0,Class 3
2,7.3,6.5,95.0,1086,0.09,Class 4
3,7.0,6.6,3985.0,52932,0.08,Class 4
4,6.2,4.4,252.0,2670,0.09,Class 4
5,6.3,4.5,136.0,1562,0.09,Class 4
6,6.9,6.1,50.0,788,0.06,Class 4
7,6.8,4.9,27.0,299,0.09,Class 4
8,7.3,6.0,6.0,98,0.06,Class 4
9,8.9,8.9,0.0,12,0.0,Class 4
2,8.2,6.5,1.0,17,0.06,Class 5
3,7.1,5.6,57.0,628,0.09,Class 5
4,6.3,5.0,116.0,1098,0.11,Class 5
5,6.2,4.8,77.0,743,0.1,Class 5
6,6.5,5.4,36.0,359,0.1,Class 5
7,7.1,5.2,12.0,188,0.06,Class 5
8,7.6,5.4,1.0,71,0.01,Class 5
9,5.8,4.2,3.0,28,0.11,Class 5
10,3.2,1.6,2.0,6,0.33,Class 5
